Top 10 in network GSE76283.tsv ranked by EPC method
Rank,Name,Score
1,Serpina3n,130.7750000000003
2,Lyz2,130.6110000000003
3,Lyz1,129.9210000000002
4,Tollip,128.58700000000027
5,Penk,128.4890000000004
6,Tubb5,127.05000000000024
7,Gnb5,126.73700000000044
8,C3ar1,126.71600000000052
9,Gng3,125.64400000000045
10,Ap2a2,125.59000000000047
