Top 10 in network GSE15758_string.tsv ranked by Degree method
Rank,Name,Score
1,Rps15a,21.0
2,Gnb2,20.0
2,Rps11,20.0
2,Rpl23,20.0
5,Rps14,19.0
5,Rps5,19.0
5,Rpl26,19.0
5,Rps9,19.0
5,Hist1h2bm,19.0
10,Snrnp200,18.0
