Top 10 in network gse95224 ranked by MCC method
Rank,Name,Score
1,Gng7,2.4343260655634324E18
2,Ccl6,2.4343247578890644E18
2,Mchr1,2.4343247578890644E18
2,Agt,2.4343247578890644E18
5,Penk,2.4329020081766804E18
5,Agtr2,2.4329020081766804E18
7,Sstr3,2.43290200817664E18
7,Sst,2.43290200817664E18
7,Ccl5,2.43290200817664E18
7,Ccl21c,2.43290200817664E18
