Top 10 in network string_interactions.tsv ranked by Betweenness method
Rank,Name,Score
1,CREBBP,80826.7200122902
2,JUN,61252.6188331315
3,ACTB,49328.84663183694
4,PTK2,38391.65581551688
5,ITGB1,37710.22106064739
6,PRKCA,35092.49885496902
7,EGFR,34908.41696631516
8,SDC2,32392.024268302805
9,PSMD2,27339.70424257922
10,HIST2H2BE,26734.23702868344
