"Betweenness unDir","Bridging unDir","Centroid unDir","Closeness unDir","Degree unDir","Eccentricity unDir","EigenVector unDir","name","Radiality unDir","selected","shared name","Stress unDir"
"0.0","0.0","-860.0","2.6567481402763017E-4","1.0","0.1111111111111111","0.001655110209405763","SYT4","7.628339140534263","true","SYT4","0.0"
"0.0","0.0","-860.0","2.6246719160104987E-4","1.0","0.125","5.679999723709907E-4","ALG10B","7.574912891986063","true","ALG10B","0.0"
"7.333186519684193","59.92260984656226","-788.0","3.0674846625766873E-4","2.0","0.14285714285714285","0.0031052530916619485","PHACTR2","8.213704994192799","false","PHACTR2","234.0"
"0.0","0.0","-860.0","2.3702299123014932E-4","1.0","0.1111111111111111","1.0167355624543302E-4","TRAK2","7.099883855981417","true","TRAK2","0.0"
"0.0","0.0","-859.0","1.6625103906899418E-4","2.0","0.09090909090909091","1.5675424105785132E-7","TRPM4","5.013937282229965","false","TRPM4","0.0"
"0.0","0.0","-860.0","2.2040996253030638E-4","1.0","0.1111111111111111","2.9255833260671434E-5","DRP2","6.730545876887341","true","DRP2","0.0"
"0.0","0.0","-860.0","2.4594195769798326E-4","1.0","0.125","5.189889612407232E-5","ME3","7.277584204413473","true","ME3","0.0"
"0.0","0.0","-860.0","2.5119316754584274E-4","1.0","0.1111111111111111","1.8189740326935222E-4","ABCC1","7.376306620209059","true","ABCC1","0.0"
"0.0","0.0","-860.0","2.682403433476395E-4","1.0","0.125","0.0021930301295243425","SSPN","7.670150987224158","true","SSPN","0.0"
"0.0","0.0","-860.0","2.3815194093831864E-4","1.0","0.1111111111111111","6.438941307296342E-5","TICRR","7.123112659698026","true","TICRR","0.0"
"0.0","0.0","-858.0","2.785515320334262E-4","2.0","0.125","0.0025644292063428014","MTSS1","7.830429732868757","false","MTSS1","0.0"
"0.0","0.0","-858.0","2.304147465437788E-4","2.0","0.1111111111111111","2.452974166744829E-5","EN2","6.959349593495935","false","EN2","0.0"
"0.0","0.0","-860.0","2.2143489813994686E-4","1.0","0.1111111111111111","3.618385156345541E-5","GNL1","6.754936120789779","true","GNL1","0.0"
"0.0","0.0","-860.0","2.4993751562109475E-4","1.0","0.1111111111111111","5.009052183279726E-4","DOCK5","7.35307781649245","true","DOCK5","0.0"
"0.0","0.0","-858.0","2.785515320334262E-4","2.0","0.125","0.0025644292063427927","PHACTR1","7.830429732868757","false","PHACTR1","0.0"
"0.0","0.0","-859.0","2.626740215392698E-4","2.0","0.125","3.4100458965562083E-4","DCX","7.578397212543554","false","DCX","0.0"
"0.0","0.0","-860.0","1.9712201852946975E-4","1.0","0.1111111111111111","8.255314162565808E-7","APOBEC3C","6.10801393728223","true","APOBEC3C","0.0"
"0.0","0.0","-860.0","2.605523710265763E-4","1.0","0.1111111111111111","5.80961715825861E-4","FUBP1","7.5423925667828104","true","FUBP1","0.0"
"0.0","0.0","-860.0","1.9584802193497845E-4","1.0","0.1111111111111111","7.166311201634485E-7","MBNL1","6.069686411149826","true","MBNL1","0.0"
"0.0","0.0","-860.0","2.3940627244433804E-4","1.0","0.125","3.305643899407268E-5","TRIB1","7.148664343786295","true","TRIB1","0.0"
"1267.6439778130016","2309.929026237025","-835.0","2.860411899313501E-4","2.0","0.125","0.0021137202112723333","WDR1","7.939605110336817","false","WDR1","7168.0"
"0.0","0.0","-860.0","2.3496240601503758E-4","1.0","0.1111111111111111","2.3738188071085685E-5","TOM1L2","7.056910569105691","true","TOM1L2","0.0"
"0.0","0.0","-860.0","3.0111412225233364E-4","1.0","0.14285714285714285","7.503604303872015E-4","KLF6","8.142857142857142","true","KLF6","0.0"
"1499.2985924898148","458.1190143718879","-827.0","2.390057361376673E-4","3.0","0.1111111111111111","6.925606032653607E-5","KHDRBS3","7.140534262485482","false","KHDRBS3","9782.0"
"0.0","0.0","-860.0","2.5713551041398817E-4","1.0","0.125","4.226519928266384E-4","CLGN","7.483159117305458","true","CLGN","0.0"
"0.0","0.0","-859.0","2.2972662531587412E-4","2.0","0.1","1.0834546183245885E-4","ADCK3","6.944250871080139","false","ADCK3","0.0"
"0.0","0.0","-860.0","2.1934634788330776E-4","1.0","0.1","6.89508152131736E-5","SLC20A1","6.704994192799071","true","SLC20A1","0.0"
