"Betweenness unDir","Bridging unDir","Centroid unDir","Closeness unDir","Degree unDir","Eccentricity unDir","EigenVector unDir","name","Radiality unDir","selected","shared name","Stress unDir"
"616.3545124627291","25.95083442687505","-447.0","5.757052389176742E-4","22.0","0.1","0.03253761868955078","Mcm5","10.117408906882591","false","Mcm5","10922.0"
"19.432085332967674","0.9665349596285301","-447.0","5.122950819672131E-4","20.0","0.1","0.029410992343398213","Mcm7","9.682186234817813","false","Mcm7","234.0"
"5.563638583638581","0.529483156353644","-447.0","5.094243504839531E-4","15.0","0.1","0.022581093505935495","Mcm6","9.65991902834008","false","Mcm6","60.0"
"577.3559715906423","26.641537238126762","-447.0","5.753739930955121E-4","21.0","0.1","0.03111195776442712","Mcm4","10.115384615384615","false","Mcm4","10122.0"
"1061.9530169118973","21.343238918551396","-447.0","5.787037037037037E-4","28.0","0.1","0.037907802896044396","Ccnb1","10.135627530364372","false","Ccnb1","16236.0"
"7936.949273033096","68.89002320185787","-447.0","5.787037037037037E-4","40.0","0.1","0.04074883939128546","Cdc20","10.135627530364372","false","Cdc20","71366.0"
"19.432085332967674","0.9665349596285301","-447.0","5.122950819672131E-4","20.0","0.1","0.029410992343398067","Mcm2","9.682186234817813","false","Mcm2","234.0"
"4556.077060834106","263.3902649008","-447.0","5.963029218843172E-4","13.0","0.1111111111111111","0.01248227688493725","Psmb9","10.238866396761134","false","Psmb9","56092.0"
"4556.077060834106","263.39026490079993","-447.0","5.963029218843172E-4","13.0","0.1111111111111111","0.012482276884937237","Psmb8","10.238866396761134","false","Psmb8","56092.0"
"4867.532828482951","75.72884454261562","-447.0","6.265664160401002E-4","32.0","0.1111111111111111","0.04861325028669794","Plk1","10.402834008097166","false","Plk1","60632.0"
"700.1373630646693","24.418931785255392","-447.0","5.219206680584551E-4","22.0","0.1","0.03135186543784543","Mcm3","9.755060728744938","false","Mcm3","5078.0"
"1377.1638476076203","45.18926951913615","-447.0","5.621135469364812E-4","23.0","0.1111111111111111","0.04124442919014224","Tpx2","10.03238866396761","false","Tpx2","12656.0"
"17.698504986551367","0.7326187133726065","-447.0","5.125576627370579E-4","22.0","0.1","0.03277609807111936","Top2a","9.68421052631579","false","Top2a","256.0"
"1138.9474596974094","17.77866660897045","-447.0","5.428881650380022E-4","30.0","0.1","0.037039945522168896","Ccna2","9.904858299595142","false","Ccna2","22300.0"
"2321.4411014638736","75.73071347949136","-447.0","6.071645415907711E-4","10.0","0.125","0.005953300489776804","C1qb","10.299595141700404","false","C1qb","13002.0"
"932.9068776988427","93.39807057830315","-447.0","6.269592476489029E-4","9.0","0.125","0.006270177723517425","C1qc","10.404858299595142","false","C1qc","7258.0"
"2177.3520284893534","42.85750925521039","-447.0","5.875440658049354E-4","30.0","0.1","0.0388819201208329","Bub1b","10.18825910931174","false","Bub1b","40354.0"
"305.3106122209177","84.98945737901792","-447.0","6.045949214026602E-4","6.0","0.125","0.005636840690436727","C1qa","10.285425101214575","false","C1qa","3064.0"
"6472.298736563966","65.41886979760837","-447.0","6.285355122564425E-4","37.0","0.1111111111111111","0.052337906834753","Cdk1","10.412955465587045","false","Cdk1","73588.0"
"2202.1661323411304","287.3192242065617","-447.0","6.261740763932373E-4","8.0","0.125","0.0019272836586421479","Tlr4","10.40080971659919","false","Tlr4","12318.0"
"1845.244060752534","299.6916107950751","-447.0","5.537098560354374E-4","6.0","0.125","5.107546584116236E-4","Map3k7","9.977732793522268","false","Map3k7","8412.0"
"1077.9272220335754","64.38751268171214","-447.0","6.544502617801048E-4","16.0","0.125","0.010698111767232526","H2-D1","10.540485829959515","false","H2-D1","12382.0"
"9857.192267686101","64.13515568216087","-447.0","6.648936170212766E-4","29.0","0.14285714285714285","0.06932831970598474","B2m","10.589068825910932","false","B2m","63944.0"
"1077.9272220335754","64.38751268171214","-447.0","6.544502617801048E-4","16.0","0.125","0.010698111767232526","H2-K1","10.540485829959515","false","H2-K1","12382.0"
"1294.6809358320024","55.5524059964289","-447.0","6.680026720106881E-4","19.0","0.1111111111111111","0.006840034180770796","Itsn1","10.603238866396762","false","Itsn1","7206.0"
"6020.924872095444","258.03937509787903","-447.0","6.954102920723226E-4","20.0","0.1111111111111111","0.007299962249805268","Ap2b1","10.722672064777328","false","Ap2b1","54982.0"
"6702.52826372737","63.091040123720184","-447.0","6.802721088435374E-4","34.0","0.14285714285714285","0.01661456636407141","Gnb5","10.657894736842104","false","Gnb5","60460.0"
"896.0","278.37584425903856","-447.0","5.232862375719519E-4","3.0","0.125","0.0014102020837505728","Rgs9","9.765182186234817","false","Rgs9","4870.0"
"1626.2992999462174","108.41995332974784","-447.0","4.4943820224719103E-4","7.0","0.1","7.752650754400832E-5","Gtf2h2","9.129554655870445","false","Gtf2h2","9950.0"
"1626.2992999462174","108.41995332974783","-447.0","4.4943820224719103E-4","7.0","0.1","7.752650754400832E-5","Gtf2h3","9.129554655870445","false","Gtf2h3","9950.0"
"6554.308763144898","92.29027331556901","-447.0","6.993006993006993E-4","36.0","0.14285714285714285","0.23127017088654384","Lyz2","10.738866396761134","false","Lyz2","53346.0"
"6554.308763144898","92.29027331556901","-447.0","6.993006993006993E-4","36.0","0.14285714285714285","0.23127017088654384","Lyz1","10.738866396761134","false","Lyz1","53346.0"
"1296.4459680249452","62.207057701346194","-447.0","5.341880341880342E-4","19.0","0.1","0.027998961727663252","Incenp","9.84412955465587","false","Incenp","11580.0"
"0.0","0.0","-448.0","4.5330915684496827E-4","1.0","0.09090909090909091","5.566774786934233E-4","Msh3","9.168016194331983","false","Msh3","0.0"
